Id,Name,Socket,Core,Thread,Frequency,Frequency_bost,Cahe,Price,Recommended,Link
1,AMD Ryzen 5 2600,SocketAM4,6,12,3.4,3.9,16,10 990,50,https://www.citilink.ru/product/processor-amd-ryzen-5-2600-socketam4-oem-yd2600bbm6iaf-1068556/
2,AMD Ryzen 5 3600,SocketAM4,6,12,3.6,4.2,32,14 390,50,https://www.citilink.ru/product/processor-amd-ryzen-5-3600-socketam4-oem-100-000000031-1151445/
3,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 590,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400f-soc-1200-cm8070104290716s-rh3d-1363358/
4,AMD Ryzen 3 3100,SocketAM4,4,8,3.6,3.9,16,10 290,0,https://www.citilink.ru/product/processor-amd-ryzen-3-3100-am4-100-000000284-3-6ghz-oem-1401509/
5,AMD Ryzen 5 3500X,SocketAM4,6,6,3.6,4.1,32,11 590,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3500x-am4-100-000000158-3-6ghz-oem-1411785/
6,INTEL Core i3 10100F,LGA 1200,4,8,3.6,4.3,6,12 290,0,https://www.citilink.ru/product/processor-intel-core-i3-10100f-lga-1200-oem-cm8070104291318q-usm-1426814/
7,INTEL Core i5 9400F,LGA 1151v2,6,6,2.9,4.1,9,,0,https://www.citilink.ru/product/processor-intel-core-i5-9400f-lga-1151v2-oem-cm8068403358819s-rf6m-1118668/
8,AMD Ryzen 5 2600,SocketAM4,6,12,3.4,3.9,16,11 490,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2600-socketam4-box-yd2600bbafbox-1051835/
9,INTEL Core i5 9400F,LGA 1151v2,6,6,2.9,4.1,9,,0,https://www.citilink.ru/product/processor-intel-core-i5-9400f-lga-1151v2-box-bx80684i59400f-s-rf6m-1118667/
10,INTEL Core i3 10100F,LGA 1200,4,8,3.6,4.3,6,12 990,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10100f-soc-1200-bx8070110100f-s-rh8u-1419362/
11,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400f-soc-1200-bx8070110400f-s-rh3d-1369041/
12,INTEL Core i3 10100,LGA 1200,4,8,3.6,4.3,6,14 790,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10100-soc-1200-bx8070110100-s-rh3n-3-1369035/
13,AMD Ryzen 7 3700X,SocketAM4,8,16,3.6,4.4,32,23 990,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3700x-socketam4-tray-100-000000071-1151455/
14,INTEL Pentium Gold G5420,LGA 1151v2,2,4,3.8,,4,9990,0,https://www.citilink.ru/product/processor-intel-pentium-gold-g5420-lga-1151v2-box-bx80684g5420-s-r3xa-1139043/
15,AMD Ryzen 5 3600X,SocketAM4,6,12,3.8,4.4,32,17 990,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3600x-socketam4-tray-100-000000022-1151450/
16,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 290,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400-soc-1200-cm8070104290715s-rh3c-1363357/
17,AMD Ryzen 5 2600X,SocketAM4,6,12,3.6,4.2,16,12 190,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2600x-socketam4-tray-yd260xbcm6iaf-1068340/
18,AMD Ryzen 5 3600,SocketAM4,6,12,3.6,4.2,32,16 490,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3600-socketam4-box-100-100000031box-1151443/
19,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,11 990,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-oem-cm8068403358820s-rf6n-1197113/
20,AMD Ryzen 3 2200G,SocketAM4,4,4,3.5,3.7,4,10 290,0,https://www.citilink.ru/product/processor-amd-ryzen-3-2200g-socketam4-box-yd2200c5fbbox-1029381/
21,INTEL Pentium Gold G5420,LGA 1151v2,2,4,3.8,,4,9490,0,https://www.citilink.ru/product/processor-intel-pentium-gold-g5420-lga-1151v2-oem-cm8068403360113s-r3x-1139046/
22,INTEL Pentium Gold G6400,LGA 1200,2,4,4,,4,9290,0,https://www.citilink.ru/product/processor-intel-original-pentium-g6400-soc-1151v2-cm8070104291810s-rh3-1363344/
23,INTEL Core i7 10700F,LGA 1200,8,16,2.9,4.8,16,24 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10700f-soc-1200-cm8070104282329s-rh70-1400728/
24,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,12 790,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-box-bx80684i39100f-s-rf6n-1163682/
25,INTEL Pentium Gold G6400,LGA 1200,2,4,4,,4,9590,0,https://www.citilink.ru/product/processor-intel-original-pentium-gold-g6400-soc-1200-bx80701g6400-s-rh-1369031/
26,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 590,0,https://www.citilink.ru/product/processor-intel-core-i5-10400-lga-1200-box-bx8070110400-s-rh78-1419365/
27,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 590,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400-soc-1200-bx8070110400-s-rh3c-2-1369040/
28,AMD Ryzen 5 3500,SocketAM4,6,6,3.6,4.1,16,11 290,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3500-socketam4-oem-100-000000050-1182289/
29,INTEL Core i3 10100,LGA 1200,4,8,3.6,4.3,6,14 290,0,https://www.citilink.ru/product/processor-intel-core-i3-10100-soc-1200-3-6ghz-iuhdg630-oem-1406471/
30,INTEL Core i5 9600KF,LGA 1151v2,6,6,3.7,4.6,9,15 890,0,https://www.citilink.ru/product/processor-intel-core-i5-9600kf-lga-1151v2-oem-cm8068403874410s-rg12-1155741/
31,AMD Ryzen 5 1600,SocketAM4,6,12,3.2,3.6,16,11 190,0,https://www.citilink.ru/product/processor-amd-ryzen-5-1600-socketam4-box-yd1600bbafbox-1187402/
32,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-oem-cm8068403875505s-rg0y-1181768/
33,AMD Ryzen 7 3700X,SocketAM4,8,16,3.6,4.4,32,28 790,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3700x-socketam4-box-100-100000071box-1151453/
34,AMD Ryzen 5 2600X,SocketAM4,6,12,3.6,4.2,16,13 490,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2600x-socketam4-box-yd260xbcafbox-1051839/
35,AMD Ryzen 9 3900X,SocketAM4,12,24,3.8,4.6,64,44 590,0,https://www.citilink.ru/product/processor-amd-ryzen-9-3900x-socketam4-box-100-100000023box-1151471/
36,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 590,0,https://www.citilink.ru/product/processor-intel-core-i5-10400f-lga-1200-oem-cm8070104282719s-rh79-1424064/
37,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,12 790,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-box-1201242/
38,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,19 790,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-box-bx80684i59400-s-r3x5-1193132/
39,INTEL Pentium Gold G5420,LGA 1151v2,2,4,3.8,,4,9490,0,https://www.citilink.ru/product/processor-intel-pentium-gold-g5420-soc-1151v2-3-8ghz-iuhdg610-oem-1385423/
40,AMD Ryzen 5 5600X,SocketAM4,6,12,3.7,4.6,32,24 090,0,https://www.citilink.ru/product/processor-amd-ryzen-5-5600x-socketam4-tray-100-100000065-1431187/
41,AMD Ryzen 5 3600X,SocketAM4,6,12,3.8,4.4,32,21 590,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3600x-socketam4-box-100-100000022box-1151447/
42,INTEL Core i3 9100,LGA 1151v2,4,4,3.6,4.2,6,16 790,0,https://www.citilink.ru/product/processor-intel-core-i3-9100-lga-1151v2-box-1424731/
43,INTEL Celeron G5905,LGA 1200,2,2,3.5,,4,7890,0,https://www.citilink.ru/product/processor-intel-original-celeron-g5905-soc-1200-bx80701g5905-s-rk27-3-1408761/
44,INTEL Core i3 10100,LGA 1200,4,8,3.6,4.3,6,14 290,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10100-soc-1200-cm8070104291317s-rh3n-1363354/
45,AMD Ryzen 3 3200GE,SocketAM4,4,4,3.3,3.8,4,14 390,0,https://www.citilink.ru/product/processor-amd-ryzen-3-3200ge-am4-yd3200c6m4mfh-3-6ghz-vega-8-oem-1416730/
46,INTEL Core i5 10600,LGA 1200,6,12,3.3,4.8,12,19 490,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10600-soc-1200-cm8070104290312s-rh37-1402021/
47,INTEL Core i7 10700F,LGA 1200,8,16,2.9,4.8,16,24 990,0,https://www.citilink.ru/product/processor-intel-core-i7-10700f-soc-1200-2-9ghz-oem-1411425/
48,INTEL Core i5 10600KF,LGA 1200,6,12,4.1,4.8,12,17 390,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10600kf-soc-1200-cm8070104282136s-rh6-1391892/
49,INTEL Core i5 10500,LGA 1200,6,12,3.1,4.5,12,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-10500-soc-1200-3-1ghz-iuhdg630-oem-1408949/
50,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 990,0,https://www.citilink.ru/product/processor-intel-core-i5-10400f-lga-1200-box-1424727/
51,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,19 790,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-box-bx80684i59400-s-rg0y-1181766/
52,INTEL Core i3 9100,LGA 1151v2,4,4,3.6,4.2,6,16 290,0,https://www.citilink.ru/product/processor-intel-core-i3-9100-lga-1151v2-oem-1163908/
53,INTEL Celeron G4900,LGA 1151v2,2,2,3.1,,2,7990,0,https://www.citilink.ru/product/processor-intel-celeron-g4900-lga-1151v2-oem-1144348/
54,AMD Ryzen 5 5600X,SocketAM4,6,12,3.7,4.6,32,28 990,0,https://www.citilink.ru/product/processor-amd-ryzen-5-5600x-socketam4-box-100-100000065box-1431184/
55,INTEL Core i3 8100,LGA 1151v2,4,4,3.6,,6,14 990,0,https://www.citilink.ru/product/processor-intel-core-i3-8100-lga-1151v2-oem-1031618/
56,AMD Ryzen 7 5800X,SocketAM4,8,16,3.8,4.7,32,41 590,0,https://www.citilink.ru/product/processor-amd-ryzen-7-5800x-socketam4-box-bez-kulera-100-100000063wof-1431178/
57,INTEL Core i7 9700F,LGA 1151v2,8,8,3,4.7,12,22 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700f-lga-1151v2-oem-cm8068403874523s-rg14-1184757/
58,INTEL Core i5 9600K,LGA 1151v2,6,6,3.7,4.6,9,17 490,0,https://www.citilink.ru/product/processor-intel-core-i5-9600k-lga-1151v2-oem-1111893/
59,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 290,0,https://www.citilink.ru/product/processor-intel-core-i5-10400-lga-1200-oem-cm8070104282718s-rh78-1431838/
60,INTEL Core i5 10600K,LGA 1200,6,12,4.1,4.8,12,19 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10600k-soc-1200-cm8070104282134s-rh6r-1393484/
61,INTEL Core i7 10700F,LGA 1200,8,16,2.9,4.8,16,24 990,0,https://www.citilink.ru/product/processor-intel-core-i7-10700f-lga-1200-oem-cm8070104282329s-rh70-1474458/
62,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 590,0,https://www.citilink.ru/product/processor-intel-core-i5-10400f-lga-1200-oem-1425707/
63,INTEL Core i7 10700KF,LGA 1200,8,16,3.8,5.1,16,29 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700kf-soc-1200-bx8070110700kf-s-rh7-1369054/
64,INTEL Core i7 9700K,LGA 1151v2,8,8,3.6,4.9,12,25 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700k-lga-1151v2-oem-cm8068403874215s-rg15-1199234/
65,INTEL Core i7 10700KF,LGA 1200,8,16,3.8,5.1,16,28 990,0,https://www.citilink.ru/product/processor-intel-core-i7-10700kf-lga-1200-oem-cm8070104282437srh74-1428157/
66,INTEL Core i7 10700KF,LGA 1200,8,16,3.8,5.1,16,28 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700kf-soc-1200-cm8070104282437srh74-1391887/
67,AMD Ryzen 7 3800X,SocketAM4,8,16,3.9,4.5,32,33 490,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3800x-socketam4-box-100-100000025box-1151461/
68,INTEL Core i7 9700F,LGA 1151v2,8,8,3,4.7,12,22 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700f-soc-1151v2-3ghz-oem-1385424/
69,AMD Ryzen 5 1600,SocketAM4,6,12,3.2,3.6,16,10 890,0,https://www.citilink.ru/product/processor-amd-ryzen-5-1600-socketam4-oem-yd1600bbm6iaf-1187404/
70,INTEL Core i5 10600,LGA 1200,6,12,3.3,4.8,12,19 490,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10600-soc-1200-cm8070104290312s-rh37-1363360/
71,INTEL Core i9 10900,LGA 1200,10,20,2.8,5.2,20,36 590,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10900-soc-1200-cm8070104282624s-rh8z-1366137/
72,INTEL Core i7 9700,LGA 1151v2,8,8,3,4.7,12,23 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700-lga-1151v2-oem-1196380/
73,INTEL Core i5 9500F,LGA 1151v2,6,6,3,4.4,9,14 690,0,https://www.citilink.ru/product/processor-intel-core-i5-9500f-lga-1151v2-oem-cm8068403875414s-rg10-1194842/
74,INTEL Core i5 10600KF,LGA 1200,6,12,4.1,4.8,12,17 390,0,https://www.citilink.ru/product/processor-intel-core-i5-10600kf-lga-1200-oem-cm8070104282136s-rh6s-1466348/
75,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 990,0,https://www.citilink.ru/product/processor-intel-core-i5-10400f-lga-1200-box-bx8070110400f-s-rh79-1424729/
76,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 590,0,https://www.citilink.ru/product/processor-intel-core-i5-10400-lga-1200-box-1467566/
77,INTEL Core i9 10850K,LGA 1200,10,20,3.6,5.2,20,35 990,0,https://www.citilink.ru/product/processor-intel-core-i9-10850k-lga-1200-oem-cm8070104608302-s-rk51-1416425/
78,INTEL Core i5 11400,LGA 1200,6,12,2.6,4.4,12,18 190,0,https://www.citilink.ru/product/processor-intel-core-i5-11400-lga-1200-oem-cm8070804497015s-rkp0-1470859/
79,AMD Ryzen 7 3800X,SocketAM4,8,16,3.9,4.5,32,31 990,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3800x-socketam4-oem-100-000000025-1151467/
80,INTEL Core i5 10600KF,LGA 1200,6,12,4.1,4.8,12,17 990,0,https://www.citilink.ru/product/processor-intel-core-i5-10600kf-lga-1200-box-bez-kulera-bx8070110600kf-1428229/
81,INTEL Core i7 10700K,LGA 1200,8,16,3.8,5.1,16,30 390,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700k-soc-1200-cm8070104282436s-rh72-1366135/
82,INTEL Core i5 10600K,LGA 1200,6,12,4.1,4.8,12,19 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10600k-soc-1200-cm8070104282134s-rh6r-1366131/
83,INTEL Core i9 10900F,LGA 1200,10,20,2.8,5.2,20,32 990,0,https://www.citilink.ru/product/processor-intel-original-core-i9-10900f-soc-1151v2-cm8070104282625s-rh-1400732/
84,INTEL Core i7 10700,LGA 1200,8,16,2.9,4.8,16,25 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-10700-soc-1200-cm8070104282327s-rh6y-1366134/
85,INTEL Core i7 9700K,LGA 1151v2,8,8,3.6,4.9,12,26 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700k-lga-1151v2-box-bez-kulera-bx80684i79700k-1191826/
86,INTEL Core i5 11500,LGA 1200,6,12,2.7,4.6,12,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-11500-lga-1200-oem-cm8070804496809s-rkny-1469358/
87,AMD Ryzen 9 5950X,SocketAM4,16,32,3.4,4.9,64,94 990,0,https://www.citilink.ru/product/processor-amd-ryzen-9-5950x-socketam4-oem-100-100000059-1431157/
88,INTEL Core i5 11500,LGA 1200,6,12,2.7,4.6,12,19 590,0,https://www.citilink.ru/product/processor-intel-core-i5-11500-lga-1200-box-bx8070811500-s-rkny-1469357/
89,AMD Ryzen 5 3600XT,SocketAM4,6,12,3.8,4.5,32,21 290,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3600xt-am4-100-100000281box-4-5ghz-box-1411790/
90,INTEL Core i5 9500F,LGA 1151v2,6,6,3,4.4,9,14 690,0,https://www.citilink.ru/product/processor-intel-core-i5-9500f-lga-1151v2-oem-1196384/
91,INTEL Core i5 11600K,LGA 1200,6,12,3.9,4.9,12,23 990,0,https://www.citilink.ru/product/processor-intel-core-i5-11600k-lga-1200-oem-cm8070804491414s-rknu-1469353/
92,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-oem-1163911/
93,INTEL Core i7 11700K,LGA 1200,8,16,3.6,5,16,37 990,0,https://www.citilink.ru/product/processor-intel-core-i7-11700k-lga-1200-box-bez-kulera-bx8070811700k-s-1469346/
94,INTEL Core i7 9700,LGA 1151v2,8,8,3,4.7,12,23 990,0,https://www.citilink.ru/product/processor-intel-original-core-i7-9700-soc-1151v2-cm8068403874521s-rg13-1392953/
95,INTEL Core i7 9700F,LGA 1151v2,8,8,3,4.7,12,23 990,0,https://www.citilink.ru/product/processor-intel-core-i7-9700f-lga-1151v2-box-bx80684i79700f-s-rg14-1184756/
