Id,Name,Socket,Chipset,Price,Recommended,Link
1,ASROCK A320M-DVS R4.0,SocketAM4,AMD A320,3790,35,https://www.citilink.ru/product/materinskaya-plata-asrock-a320m-dvs-r4-0-socketam4-amd-a320-matx-ret-1120710/
2,ASROCK B450M PRO4,SocketAM4,AMD B450,6140,50,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-socketam4-amd-b450-matx-ret-1080832/
3,ASROCK B450M PRO4-F,SocketAM4,AMD B450,5590,50,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-f-socketam4-amd-b450-matx-ret-1138649/
4,ASUS PRIME H310M-R R2.0,LGA 1151v2,Intel H310,4090,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-r-r2-0-lga-1151v2-intel-h310-matx-1107791/
5,GIGABYTE B450M H,SocketAM4,AMD B450,4920,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-h-socketam4-amd-b450-matx-ret-1362027/
6,ASROCK B450M-HDV R4.0,SocketAM4,AMD B450,4760,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-hdv-r4-0-socketam4-amd-b450-matx-ret-1135186/
7,ASROCK B450 PRO4,SocketAM4,AMD B450,6740,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450-pro4-socketam4-amd-b450-atx-ret-1080829/
8,ASUS PRIME A320M-K,SocketAM4,AMD A320,3990,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-k-socketam4-amd-a320-matx-ret-472728/
9,GIGABYTE B450 AORUS ELITE,SocketAM4,AMD B450,7590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-elite-socketam4-amd-b450-atx-re-1087918/
10,ASROCK B460M-HDV,LGA 1200,Intel B460,6790,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b460m-hdv-soc-1200-intel-b460-2xddr4-matx-ac-1391283/
11,GIGABYTE B450M DS3H V2,SocketAM4,AMD B450,5590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-ds3h-v2-socketam4-amd-b450-matx-ret-1429279/
12,ASROCK H410M-HVS,LGA 1200,Intel H410,5890,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h410m-hvs-soc-1200-intel-h410-2xddr4-matx-ac-1388024/
13,GIGABYTE GA-A320M-H,SocketAM4,AMD A320,3890,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-a320m-h-socketam4-amd-a320-matx-ret-1101032/
14,GIGABYTE H310M S2,LGA 1151v2,Intel H310C,3990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-s2-2-0-lga-1151v2-intel-h310c-matx-r-1085074/
15,ASROCK B460 Pro4,LGA 1200,Intel B460,8990,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b460-pro4-soc-1200-intel-b460-2xddr4-atx-ac-1391286/
16,ASROCK H310CM-DVS,LGA 1151v2,Intel H310C,3990,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h310cm-dvs-lga-1151v2-intel-h310c-matx-ret-1080835/
17,GIGABYTE B450M S2H V2,SocketAM4,AMD B450,5190,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-s2h-v2-socketam4-amd-b450-matx-ret-1444565/
18,ASROCK H410M-HDV,LGA 1200,Intel H410,5990,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h410m-hdv-soc-1200-intel-h410-2xddr4-atx-ac-1381537/
19,GIGABYTE B450 GAMING X,SocketAM4,AMD B450,6740,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-gaming-x-socketam4-amd-b450-atx-ret-1144485/
20,GIGABYTE H310M S2H 2.0,LGA 1151v2,Intel H310C,4390,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-s2h-2-0-lga-1151v2-intel-h310c-matx-1135093/
21,ASROCK B450 Gaming K4,SocketAM4,AMD B450,7290,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450-gaming-k4-socketam4-amd-b450-atx-ret-1087869/
22,ASUS PRIME B365M-A,LGA 1151v2,Intel B365,5950,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b365m-a-lga-1151v2-intel-b365-matx-ret-1136626/
23,GIGABYTE GA-A320M-S2H,SocketAM4,AMD A320,4190,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-a320m-s2h-socketam4-amd-a320-matx-ret-1029346/
24,MSI X470 GAMING PLUS MAX,SocketAM4,AMD X470,8590,0,https://www.citilink.ru/product/materinskaya-plata-msi-x470-gaming-plus-max-socketam4-amd-x470-atx-ret-1181657/
25,GIGABYTE H410M H,LGA 1200,Intel H410,6290,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-h-lga-1200-intel-h410-matx-ret-1399206/
26,ASUS PRIME B450M-K,SocketAM4,AMD B450,4890,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450m-k-socketam4-amd-b450-matx-ret-1083563/
27,ASUS PRIME B450M-A II,SocketAM4,AMD B450,5890,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450m-a-ii-socketam4-amd-b450-matx-ret-1425682/
28,ASUS TUF GAMING Z490-PLUS WI-FI,LGA 1200,Intel Z490,16 630,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z490-plus-wi-fi-soc-1200-intel-z490-1375135/
29,ASUS TUF B450M-PRO GAMING,SocketAM4,AMD B450,7940,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450m-pro-gaming-socketam4-amd-b450-matx-r-1100960/
30,ASUS PRIME B460M-K,LGA 1200,Intel B460,7590,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b460m-k-soc-1200-intel-b460-2xddr4-matx-1384230/
31,ASROCK B460M Pro4,LGA 1200,Intel B460,7990,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b460m-pro4-lga-1200-intel-b460-matx-ret-1415786/
32,GIGABYTE B460M GAMING HD,LGA 1200,Intel B460,7590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-gaming-hd-soc-1200-intel-b460-2xddr4-1403572/
33,GIGABYTE B550M DS3H,SocketAM4,AMD B550,7590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-ds3h-soc-am4-amd-b550-4xddr4-matx-ac-1407213/
34,ASROCK H310CM-HDV,LGA 1151v2,Intel H310C,3990,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h310cm-hdv-lga-1151v2-intel-h310c-matx-ret-1144610/
35,GIGABYTE B460M DS3H,LGA 1200,Intel B460,7990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-ds3h-soc-1200-intel-b460-4xddr4-matx-1393317/
36,ASUS PRIME X570-P,SocketAM4,AMD X570,14 390,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-x570-p-socketam4-amd-x570-atx-ret-1160506/
37,ASUS PRIME B460-PLUS,LGA 1200,Intel B460,10 590,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b460-plus-soc-1200-intel-b460-4xddr4-atx-1384240/
38,ASUS TUF GAMING B550-PLUS,SocketAM4,AMD B550,14 290,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550-plus-soc-am4-amd-b550-4xddr4-a-1384331/
39,ASUS PRIME B460M-A,LGA 1200,Intel B460,9090,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b460m-a-soc-1200-intel-b460-4xddr4-matx-1387889/
40,ASUS PRIME B360M-K,LGA 1151v2,Intel B360,5250,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b360m-k-lga-1151v2-intel-b360-matx-ret-1059814/
41,ASUS PRIME B450M-K II,SocketAM4,AMD B450,4990,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450m-k-ii-socketam4-amd-b450-matx-ret-1423913/
42,GIGABYTE H410M S2H,LGA 1200,Intel H410,6590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2h-lga-1200-intel-h410-matx-ret-1399207/
43,MSI B365M PRO-VH,LGA 1151v2,Intel B365,4790,0,https://www.citilink.ru/product/materinskaya-plata-msi-b365m-pro-vh-lga-1151v2-intel-b365-matx-ret-1181591/
44,ASROCK B450 STEEL LEGEND,SocketAM4,AMD B450,7740,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450-steel-legend-socketam4-amd-b450-atx-ret-1132307/
45,ASROCK H470M-HVS,LGA 1200,Intel H470,5660,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hvs-lga-1200-intel-h470-matx-ret-1473892/
46,MSI B450-A PRO MAX,SocketAM4,AMD B450,7290,0,https://www.citilink.ru/product/materinskaya-plata-msi-b450-a-pro-max-socketam4-amd-b450-atx-ret-1207988/
47,ASUS PRIME B365M-K,LGA 1151v2,Intel B365,5490,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b365m-k-lga-1151v2-intel-b365-matx-ret-1140441/
48,ASROCK H470M-HDV,LGA 1200,Intel H470,5690,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hdv-lga-1200-intel-h470-matx-ret-1473891/
49,GIGABYTE B365M H,LGA 1151v2,Intel B365,4990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-h-lga-1151v2-intel-b365-matx-ret-1165851/
50,ASUS ROG STRIX B550-F GAMING,SocketAM4,AMD B550,16 180,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-f-gaming-socketam4-amd-b550-atx-1386510/
51,ASUS PRIME B550-PLUS,SocketAM4,AMD B550,11 710,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b550-plus-soc-am4-amd-b550-4xddr4-atx-ac-1387920/
52,ASUS PRIME H410M-K,LGA 1200,Intel H410,6590,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-k-soc-1200-intel-h410-2xddr4-matx-1387916/
53,ASROCK B365M-HDV,LGA 1151v2,Intel B365,4940,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-hdv-lga-1151v2-intel-b365-matx-ret-1165861/
54,ASUS PRIME Z490-P,LGA 1200,Intel Z490,14 890,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z490-p-soc-1200-intel-z490-4xddr4-atx-ac-1375124/
55,GIGABYTE GA-E6010N,E1 6010,спецификация памяти: 1333 МГц,3040,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-e6010n-mini-itx-ret-1399200/
56,GIGABYTE B450 AORUS ELITE V2,SocketAM4,AMD B450,7890,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-elite-v2-socketam4-amd-b450-atx-1468627/
57,ASROCK B450M STEEL LEGEND,SocketAM4,AMD B450,6930,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-steel-legend-socketam4-amd-b450-matx-r-1123793/
58,GIGABYTE Z390 UD,LGA 1151v2,Intel Z390,9310,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z390-ud-lga-1151v2-intel-z390-atx-ret-1090569/
59,GIGABYTE H410M S2,LGA 1200,Intel H410,5990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2-soc-1200-intel-h410-2xddr4-matx-a-1396917/
60,GIGABYTE B550M S2H,SocketAM4,AMD B550,6900,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-s2h-soc-am4-amd-b550-2xddr4-matx-ac-1403106/
61,ASROCK B550M PRO4,SocketAM4,AMD B550,8380,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b550m-pro4-socketam4-amd-b550-matx-ret-1399214/
62,GIGABYTE B450 AORUS M,SocketAM4,AMD B450,6990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-m-socketam4-amd-b450-matx-ret-1101030/
63,GIGABYTE B550M AORUS ELITE,SocketAM4,AMD B550,8630,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-aorus-elite-soc-am4-amd-b550-4xddr4-1403105/
64,ASUS TUF B450-PRO GAMING,SocketAM4,AMD B450,9180,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450-pro-gaming-socketam4-amd-b450-atx-ret-1100953/
65,GIGABYTE B450 AORUS PRO,SocketAM4,AMD B450,8690,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-pro-socketam4-amd-b450-atx-ret-1080839/
66,ASUS ROG STRIX B550-F GAMINGWI-FI,SocketAM4,AMD B550,17 170,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-f-gaming-wi-fi-soc-am4-amd-b550-1401198/
67,GIGABYTE B365M DS3H,LGA 1151v2,Intel B365,5930,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-ds3h-lga-1151v2-intel-b365-matx-ret-1146340/
68,ASUS PRIME H410M-R-SI,LGA 1200,Intel H410,6490,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-r-si-soc-1200-intel-h410-2xddr4-ma-1413106/
69,ASROCK H110 PRO BTC+,LGA 1151,Intel H110,18 590,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h110-pro-btc-lga-1151-intel-h110-atx-ret-487758/
70,ASUS ROG STRIX B460-H GAMING,LGA 1200,Intel B460,12 090,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b460-h-gaming-soc-1200-intel-b460-4x-1384303/
71,ASROCK H410M-HDV/M.2,LGA 1200,Intel H410,6790,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h410m-hdv-m-2-lga-1200-intel-h410-matx-ret-1415792/
72,ASUS PRIME H410M-A,LGA 1200,Intel H410,7590,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-a-soc-1200-intel-h410-2xddr4-atx-a-1379727/
73,MSI H410M-A PRO,LGA 1200,Intel H410,6290,0,https://www.citilink.ru/product/materinskaya-plata-msi-h410m-a-pro-soc-1200-intel-h410-2xddr4-matx-ac-1401006/
74,ASUS ROG STRIX B450-F GAMING,SocketAM4,AMD B450,11 510,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b450-f-gaming-socketam4-amd-b450-atx-1083573/
75,MSI MAG B365M MORTAR,LGA 1151v2,Intel B365,5090,0,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b365m-mortar-lga-1151v2-intel-b365-matx-ret-1192148/
76,GIGABYTE B550 AORUS ELITE V2,SocketAM4,AMD B550,12 800,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-aorus-elite-v2-socketam4-amd-b550-atx-1444568/
77,ASROCK H470M-HDV/M.2,LGA 1200,Intel H470,6600,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hdv-m-2-soc-1200-intel-h470-2xddr4-mat-1485307/
78,ASUS ROG STRIX Z490-E GAMING,LGA 1200,Intel Z490,26 700,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z490-e-gaming-soc-1200-intel-z490-4x-1375129/
79,ASUS ROG STRIX B550-E GAMING,SocketAM4,AMD B550,21 140,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-e-gaming-soc-am4-amd-b550-4xddr-1384336/
80,GIGABYTE H370 HD3,LGA 1151v2,Intel H370,8480,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h370-hd3-lga-1151v2-intel-h370-atx-ret-1056994/
81,ASUS TUF GAMING B550M-PLUS WI-FI,SocketAM4,AMD B550,13 690,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550m-plus-wi-fi-soc-am4-amd-b550-4-1395245/
82,GIGABYTE H310M H 1.1,LGA 1151v2,Intel H370,3990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-h-lga-1151v2-intel-h370-matx-ret-1471909/
83,ASUS TUF B450-PLUS GAMING,SocketAM4,AMD B450,8140,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450-plus-gaming-socketam4-amd-b450-atx-re-1083576/
84,GIGABYTE B450M GAMING,SocketAM4,AMD B450,6190,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-gaming-socketam4-amd-b450-matx-ret-1102377/
85,ASUS TUF GAMING B460M-PLUS,LGA 1200,Intel B460,10 290,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b460m-plus-soc-1200-intel-b460-4xdd-1395231/
86,ASROCK X370M-HDV R4.0,SocketAM4,AMD X370,4760,0,https://www.citilink.ru/product/materinskaya-plata-asrock-x370m-hdv-r4-0-soc-am4-amd-x370-2xddr4-matx-1384519/
87,ASROCK B365M PRO4,LGA 1151v2,Intel B365,6620,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-pro4-lga-1151v2-intel-b365-matx-ret-1146350/
88,ASUS PRIME B450-PLUS,SocketAM4,AMD B450,7490,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450-plus-socketam4-amd-b450-atx-ret-1083557/
89,ASROCK H470 PHANTOM GAMING 4,LGA 1200,Intel H470,8810,0,https://www.citilink.ru/product/materinskaya-plata-asrock-h470-phantom-gaming-4-soc-1200-intel-h470-4x-1405713/
90,ASUS ROG STRIX B360-H GAMING,LGA 1151v2,Intel B360,9770,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b360-h-gaming-lga-1151v2-intel-b360-1052628/
91,ASUS PRIME B360-PLUS,LGA 1151v2,Intel B360,7570,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b360-plus-lga-1151v2-intel-b360-atx-ret-1052605/
92,GIGABYTE B365M D3H,LGA 1151v2,Intel B365,6400,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-d3h-lga-1151v2-intel-b365-matx-ret-1159157/
93,GIGABYTE GA-J1800N-D2H,Celeron J1800,спецификация памяти: 1333 МГц,3760,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-j1800n-d2h-mini-itx-ret-878953/
94,ASUS PRIME H410M-E,LGA 1200,Intel H410,7190,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-e-soc-1200-intel-h410-2xddr4-atx-a-1379728/
95,ASUS TUF GAMING A520M-PLUS,SocketAM4,AMD A520,6840,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-a520m-plus-soc-am4-amd-a520-4xddr4-1405623/
96,ASROCK A520M-HVS,SocketAM4,AMD A520,4760,0,https://www.citilink.ru/product/materinskaya-plata-asrock-a520m-hvs-soc-am4-amd-a520-2xddr4-matx-ac-97-1407202/
97,GIGABYTE Z390 GAMING X,LGA 1151v2,Intel Z390,10 990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z390-gaming-x-lga-1151v2-intel-z390-atx-re-1090570/
98,GIGABYTE B460M AORUS PRO,LGA 1200,Intel B460,9590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-aorus-pro-soc-1200-intel-b460-4xddr4-1396909/
99,GIGABYTE B460M DS3H V2,LGA 1200,Intel H470,7990,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-ds3h-v2-lga-1200-intel-h470-matx-ret-1474378/
100,ASUS ROG STRIX Z490-H GAMING,LGA 1200,Intel Z490,19 840,0,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z490-h-gaming-soc-1200-intel-z490-4x-1375133/
101,ASUS PRIME H410M-D,LGA 1200,Intel H410,7390,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-d-soc-1200-intel-h410-2xddr4-matx-1393260/
102,GIGABYTE B550 GAMING X,SocketAM4,AMD B550,11 310,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-gaming-x-socketam4-amd-b550-atx-ret-1399190/
103,ASUS TUF B450M-PLUS GAMING,SocketAM4,AMD B450,7240,0,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450m-plus-gaming-socketam4-amd-b450-matx-1077729/
