Id,Name,Frequency,Video_memory,Price,Recommended,Link
1,MSI NVIDIA GeForce GTX 1650,1485,4,26 990,0,https://www.citilink.ru/product/videokarta-msi-pci-e-gtx-1650-d6-ventus-xs-ocv1-nv-gtx1650-4096mb-128-1405979/
2,PALIT nVidia GeForce GTX 1050TI,1290,4,21 590,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1050ti-pa-gtx1050ti-stormx-4g-4gb-426153/
3,PALIT nVidia GeForce GTX 1050TI,1290,4,21 590,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1050ti-pa-gtx1050ti-stormx-4g-4gb-401997/
4,ASUS NVIDIA GeForce GT 710,954,1,3390,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gt-710-gt710-sl-1gd5-1gb-gddr5-ret-492896/
5,GIGABYTE nVidia GeForce RTX 2060,1680,6,69 990,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-2060-gv-n2060oc-6gd-6gb-gddr6-o-1118883/
6,GIGABYTE nVidia GeForce GT 710,954,1,3490,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gt-710-gv-n710d5-1gl-1gb-gddr5-low-1161807/
7,GIGABYTE nVidia GeForce GT 710,954,2,4490,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gt-710-gv-n710d5-2gil-2gb-gddr5-low-1174212/
8,PALIT NVIDIA GeForce RTX 3060,1320,12,94 990,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-pa-rtx3060-stormx-oc-12g-12gb-1472176/
9,GIGABYTE nVidia GeForce GT 710,954,2,4190,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gt-710-gv-n710d5-2gl-2gb-gddr5-low-493300/
10,ASUS NVIDIA GeForce GT 710,954,2,4290,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gt-710-gt710-sl-2gd5-2gb-gddr5-ret-491502/
11,GIGABYTE nVidia GeForce GT 730,902,2,5290,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gt-730-gv-n730d5-2gi-2gb-gddr5-ret-949382/
12,ASUS NVIDIA GeForce GT 710,954,1,3390,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gt-710-gt710-sl-1gd5-brk-1gb-gddr5-low-492898/
13,PALIT NVIDIA GeForce RTX 3060,1320,12,93 990,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-pa-rtx3060-stormx-12g-12gb-gd-1473771/
14,ASUS nVidia GeForce GTX 1050TI,1290,4,22 590,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1050ti-ph-gtx1050ti-4g-4gb-gddr5-re-407495/
15,GIGABYTE nVidia GeForce GT 710,954,2,4190,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gt-710-gv-n710d5sl-2gl-2gb-gddr5-lo-1004968/
16,ASUS NVIDIA GeForce GTX 1650,1410,4,26 990,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1650-ph-gtx1650-o4gd6-p-4gb-gddr6-o-1468560/
17,ASUS NVIDIA GeForce GTX 1650,1410,4,28 990,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1650-tuf-gtx1650-o4gd6-p-gaming-4gb-1427658/
18,ASUS nVidia GeForce GT 1030,1228,2,7590,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gt-1030-gt1030-2g-brk-2gb-gddr5-low-pro-480777/
19,ASUS nVidia GeForce GT 1030,1228,2,7390,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gt-1030-gt1030-sl-2g-brk-2gb-gddr5-low-1027966/
20,ASUS nVidia GeForce GT 710,954,2,5190,0,https://www.citilink.ru/product/videokarta-asus-pci-e-gt710-4h-sl-2gd5-nv-gt710-2048mb-64b-gddr5-954-5-1384278/
21,ASUS NVIDIA GeForce GT 710,954,2,4290,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gt-710-gt710-sl-2gd5-brk-2gb-gddr5-low-491503/
22,ASUS nVidia GeForce GTX 1050TI,1366,4,24 590,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1050ti-cerberus-gtx1050ti-o4g-4gb-g-1029252/
23,GIGABYTE nVidia GeForce GT 730,902,2,5990,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gt-730-gv-n730d5-2gl-2gb-gddr5-low-1007532/
24,ASUS NVIDIA GeForce GTX 1650,1410,4,26 990,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1650-ph-gtx1650-o4gd6-4gb-gddr6-oc-1386579/
25,GIGABYTE NVIDIA GeForce RTX 3090,1695,24,325 990,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-3090-gv-n3090ixeb-24gd-24gb-gdd-1457721/
26,DELL NVIDIA Quadro P620,2,,15 280,0,https://www.citilink.ru/product/videokarta-dell-pci-e-quadro-p620-nv-quadro-p620-2048mb-128b-gddr5-mdp-1214514/
27,DELL NVIDIA Quadro P400,2,,10 790,0,https://www.citilink.ru/product/videokarta-dell-pci-e-490-bdzy-nv-quadro-p400-2048mb-gddr5-mdpx3-hdcp-1214510/
28,ASUS NVIDIA GeForce GTX 1650,1410,4,28 990,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1650-tuf-gtx1650-o4gd6-gaming-4gb-g-1386587/
29,DELL nVidia Quadro P1000,4,,28 680,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-p1000-quadro-p1000-4gb-gddr5-low-profile-1070056/
30,DELL NVIDIA Quadro RTX6000,24,,391 530,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-rtx6000-490-bfcz-24gb-gddr5-oem-1449291/
31,GIGABYTE nVidia GeForce GTX 1650,1665,4,26 990,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gtx-1650-gv-n1650oc-4gl-4gb-gddr5-o-1188404/
32,GIGABYTE nVidia GeForce GTX 1050TI,1290,4,21 590,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-gtx-1050ti-gv-n105td5-4gd-4gb-gddr5-405786/
33,SAPPHIRE AMD Radeon RX 6900XT,2375,16,279 990,0,https://www.citilink.ru/product/videokarta-sapphire-pci-e-4-0-11308-08-20g-rx-6900-xt-gaming-oc-extrem-1517193/
34,ASUS NVIDIA GeForce GT 710,954,2,4050,0,https://www.citilink.ru/product/videokarta-asus-pci-e-gt710-sl-2gd5-di-nv-gt710-2048mb-64-gddr5-954-50-1514429/
35,MSI NVIDIA GeForce RTX 2060,1710,6,62 990,0,https://www.citilink.ru/product/videokarta-msi-pci-e-rtx-2060-ventus-oc-ru-nv-rtx2060-6144mb-192-gddr6-1503829/
36,GIGABYTE NVIDIA GeForce RTX 3080,1845,10,262 990,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-3080-gv-n3080aorusx-wb-10gd-10g-1441386/
37,ASUS NVIDIA GeForce GTX 1650,1410,4,27 990,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1650-tuf-gtx1650-4gd6-p-gaming-4gb-1427624/
38,GIGABYTE NVIDIA GeForce RTX 3080,1800,10,267 990,0,https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n3080vision-oc-10gd-nv-geforce-rtx-30-1420794/
39,PALIT nVidia GeForce GTX 1050TI,1290,4,20 590,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1050ti-pa-gtx1050ti-stormx-4g-4gb-1184633/
40,DELL nVidia Quadro RTX4000,8,,83 500,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-rtx4000-490-bfcy-8gb-gddr6-oem-1164615/
41,DELL NVIDIA Quadro P620,2,,16 050,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-p620-quadro-p620-2gb-gddr5-oem-490-beqv-1131662/
42,DELL nVidia Quadro P1000,4,,29 870,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-p1000-quadro-p1000-4gb-gddr5-oem-490-bdx-1070053/
43,PALIT NVIDIA GeForce RTX 3060,1320,12,,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-rtx3060-dual-oc-12g-12gb-gddr-1469028/
44,MSI NVIDIA GeForce RTX 3070,1755,8,,0,https://www.citilink.ru/product/videokarta-msi-nvidia-geforce-rtx-3070-rtx-3070-ventus-2x-oc-8gb-gddr6-1423322/
45,ASUS AMD Radeon RX 580,1360,8,,0,https://www.citilink.ru/product/videokarta-asus-amd-radeon-rx-580-dual-rx580-o8g-8gb-gddr5-oc-ret-473054/
46,PALIT NVIDIA GeForce GTX 1650,1410,4,,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1650-pa-gtx1650-gp-4g-d6-4gb-gddr6-1472471/
47,PALIT NVIDIA GeForce GTX 1650,1410,4,,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1650-pa-gtx1650-gp-oc-4g-d6-4gb-gd-1468993/
48,ASUS NVIDIA GeForce RTX 3070,1725,8,,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-rtx-3070-rog-strix-rtx3070-8g-gaming-8g-1465654/
49,MSI AMD Radeon RX 5500XT,1685,8,,0,https://www.citilink.ru/product/videokarta-msi-amd-radeon-rx-5500xt-rx-5500-xt-gaming-x-8g-8gb-gddr6-r-1200193/;
